ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12609036,JF133211,02/04/2022 1:45,013XX W 73RD PL,1010,ARSON,BY EXPLOSIVE,RESIDENCE,FALSE,FALSE,734,7,17,67,9,1168564,1856023,2022,01/03/2023 15:40,41.76045114,-87.65777111,"(41.760451142, -87.657771105)"
12618422,JF144974,02/14/2022 06:00:00 PM,0000X E MONROE ST,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,112,1,42,32,6,1176708,1899940,2022,01/03/2023 15:40,41.88078377,-87.6265993,"(41.880783766, -87.6265993)"
12586042,JF105187,01/06/2022 17:00,022XX S PULASKI RD,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1013,10,22,29,08A,1150063,1888706,2022,01/03/2023 15:40,41.85051678,-87.72473034,"(41.850516781, -87.724730335)"
12594321,JF115193,01/17/2022 01:18:00 AM,078XX S COLFAX AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,421,4,7,43,08B,1194878,1853566,2022,01/03/2023 15:40,41.7531014,-87.56141166,"(41.753101402, -87.561411662)"
12626003,JF154122,02/23/2022 08:43:00 PM,087XX S JEFFERY BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,412,4,8,48,26,1191031,1847457,2022,01/03/2023 15:40,41.73643161,-87.57570628,"(41.736431605, -87.575706278)"
12610503,JF135185,02/05/2022 22:59,007XX E 131ST ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,533,5,9,54,08A,1183805,1818526,2022,01/03/2023 15:40,41.65721269,-87.60307824,"(41.657212688, -87.603078243)"
12605373,JF128794,01/30/2022 02:21:00 PM,009XX S CENTRAL PARK AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,FALSE,TRUE,1133,11,24,29,04B,1152521,1895697,2022,01/03/2023 15:40,41.86965274,-87.71552432,"(41.869652735, -87.715524317)"
12599494,JF121408,01/23/2022 01:03:00 AM,026XX W 23RD PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1034,10,12,30,08B,1159201,1888302,2022,01/03/2023 15:40,41.84922555,-87.69120312,"(41.849225547, -87.691203123)"
12588464,JF107723,01/09/2022 14:30,055XX S OAKLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,824,8,15,63,08B,1162062,1867870,2022,01/03/2023 15:40,41.79309859,-87.68127201,"(41.793098586, -87.681272006)"
12592365,JF112775,01/14/2022 03:00:00 PM,070XX S PARNELL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,732,7,6,68,26,1173834,1858326,2022,01/03/2023 15:40,41.76665566,-87.63838824,"(41.766655655, -87.638388243)"
12586135,JF104712,01/02/2022 16:00,015XX N Wells St,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1821,18,27,8,6,1174423,1910541,2022,01/03/2023 15:40,41.90992481,-87.63467257,"(41.909924812, -87.634672572)"
12588458,JF108103,01/09/2022 21:00,049XX W GLADYS AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,TRUE,FALSE,1533,15,29,25,18,1143620,1897890,2022,01/03/2023 15:40,41.87584175,-87.74814787,"(41.875841747, -87.748147867)"
12584372,JF103189,01/03/2022 19:48,014XX N SANDBURG TER,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,1821,18,2,8,6,1175096,1910205,2022,01/03/2023 15:40,41.90898774,-87.63221036,"(41.908987744, -87.632210361)"
12608592,JF132395,02/01/2022 8:00,066XX S BELL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,832,8,16,66,7,1162548,1860529,2022,01/03/2023 15:40,41.77294377,-87.67969452,"(41.772943774, -87.679694517)"
12600401,JF122544,01/24/2022 10:00:00 AM,042XX W KAMERLING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,FALSE,FALSE,2534,25,37,23,7,1147768,1908647,2022,01/03/2023 15:40,41.90528152,-87.73264126,"(41.90528152, -87.732641264)"
12606872,JF130547,02/01/2022 9:15,080XX S ESCANABA AVE,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,422,4,7,46,6,1196894,1852283,2022,01/03/2023 15:40,41.74953088,-87.55406655,"(41.749530884, -87.554066548)"
12589552,JF109372,01/08/2022 18:00,033XX S PRAIRIE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,211,2,3,35,5,1178481,1882906,2022,01/03/2023 15:40,41.83400113,-87.62060827,"(41.834001134, -87.620608267)"
12601757,JF124173,01/25/2022 10:25:00 PM,097XX S HARVARD AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,FALSE,TRUE,511,5,21,49,04B,1175675,1840320,2022,01/03/2023 15:40,41.71720391,-87.63217805,"(41.717203907, -87.632178045)"
12617191,JF143453,02/13/2022 04:00:00 PM,046XX S RICHMOND ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,922,9,15,58,20,1157482,1873762,2022,01/03/2023 15:40,41.80936113,-87.69790678,"(41.809361127, -87.697906775)"
12610508,JF135139,02/05/2022 20:00,014XX N WIELAND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1821,18,27,8,26,1174174,1909868,2022,01/03/2023 15:40,41.90808363,-87.6356074,"(41.90808363, -87.635607398)"
12600913,JF123091,01/24/2022 07:43:00 PM,018XX E 93RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,TRUE,FALSE,413,4,8,48,15,1190259,1843675,2022,01/03/2023 15:40,41.72607204,-87.57865607,"(41.726072039, -87.578656067)"
12592364,JF112821,01/14/2022 02:45:00 PM,074XX S CRANDON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,333,3,7,43,08A,1192832,1856126,2022,01/03/2023 15:40,41.76017638,-87.56882595,"(41.760176376, -87.568825947)"
12605152,JF128550,01/25/2022 06:30:00 PM,076XX S LOOMIS BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,612,6,17,71,7,1168321,1854157,2022,01/03/2023 15:40,41.75533582,-87.65871534,"(41.755335821, -87.658715338)"
12589514,JF109396,01/07/2022 19:44,003XX W WOLF POINT PLZ,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,1831,18,42,8,26,1173799,1902509,2022,01/03/2023 15:40,41.8878985,-87.63720429,"(41.887898497, -87.637204288)"
12609323,JF133696,02/03/2022 22:00,008XX W SUNNYSIDE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1914,19,46,3,08B,1169808,1930084,2022,01/03/2023 15:40,41.96365356,-87.65105469,"(41.963653562, -87.651054693)"
12585545,JF104512,01/05/2022 21:29,050XX W DEMING PL,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,2521,25,31,19,08A,1142440,1916499,2022,01/03/2023 15:40,41.92692896,-87.75201746,"(41.926928963, -87.752017464)"
12611230,JF135308,02/06/2022 3:00,052XX W CONGRESS PKWY,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1522,15,29,25,5,1141605,1897182,2022,01/03/2023 15:40,41.87393636,-87.75556381,"(41.873936364, -87.755563812)"
